2959.19,730.79,749.41,513.34,467.87,1141.82,478.42,457.64
2459.77,495.47,697.33,302.87,284.19,735.97,570.84,305.08
1495.63,515.9,362.37,285.32,272.95,540.58,364.91,188.63
1406.33,477.77,290.15,208.57,201.5,414.72,281.84,212.1
1303.97,524.29,254.83,192.17,249.81,463.09,287.87,192.96
1730.84,553.9,246.91,279.81,239.18,445.2,330.24,163.86
1561.86,492.42,200.49,218.36,220.69,459.62,360.48,147.76
1410.11,510.71,211.88,277.11,224.65,376.82,317.61,152.85
3712.31,550.74,893.37,346.93,527,1034.98,720.33,462.03
2207.58,449.37,572.4,211.92,302.09,585.23,429.77,252.54
2629.16,557.32,689.73,435.69,514.66,795.87,575.76,323.36
1844.78,430.29,271.28,126.33,250.56,513.18,314,151.39
2709.46,428.11,334.12,160.77,405.14,461.67,535.13,232.29
1563.78,303.65,233.81,107.9,209.7,393.99,509.39,160.12
1675.75,613.32,550.71,219.79,272.59,599.43,371.62,211.84
1427.65,431.79,288.55,208.14,217,337.76,421.31,165.32
1942.23,512.27,401.39,206.06,321.29,697.22,492.6,226.45
1783.43,511.88,282.84,201.01,237.6,617.74,523.52,182.52
3055.17,353.23,564.56,356.27,811.88,873.06,1082.82,420.81
2033.87,300.82,338.65,157.78,329.06,621.74,587.02,218.27
2057.86,186.44,202.72,171.79,329.65,477.17,312.93,279.19
2303.29,589.99,516.21,236.55,403.92,730.05,438.41,225.8
1974.28,507.76,344.79,203.21,240.24,575.1,430.36,223.46
1673.82,437.75,461.61,153.32,254.66,445.59,346.11,191.48
2194.25,537.01,369.07,249.54,290.84,561.91,407.7,330.95
2646.61,839.7,204.44,209.11,379.3,371.04,269.59,389.33
1472.95,390.89,447.95,259.51,230.61,490.9,469.1,191.34
1525.57,472.98,328.9,219.86,206.65,449.69,249.66,228.19
1654.69,437.77,258.78,303,244.93,479.53,288.56,236.51
1375.46,480.89,273.84,317.32,251.08,424.75,228.73,195.93
1608.82,536.05,432.46,235.82,250.28,541.3,344.85,214.4
